loop|id|group|activity|description
162|FG|41|running|these shorts are the perfect combination of lightness and coverage for hot days complete with cuffed hems for a casualchic look
163|FH|77|running|take longdistance runs further powered by our senseknit technology these tights offer unrestricted running freedom and targeted support so you feel energized with every stride
164|FI|80|running|turn up the intensity designed around a bodys heat map this tank features several textures of integrated mesh for ventilation
165|FJ|19|on the move|the all yours collection is made from soft comfortable fabrics and easytowear silhouettes that feel amazing and go with just about everything
166|FK|60|on the move|where ready meets relaxed the loungeful collection is made of soft premium fleece fabrics and laidback silhouettes that redefine your comfort zone
167|FL|48|on the move|navigate the great outdoors in this insulated scarf a discreet opening lets you feed one end through the loop for a clean tied together look
168|FM|22|on the move|the fivepocket jean reinvented these slimfit pants are engineered to give you freedom of movement and allday comfort
169|FN|15|yoga|we designed this extralong and wide version of the reversible mat for tall yogis and those who want to really stretch out during practice
170|FO|74|on the move|expect the unexpected this  madetolayer jacket is constructed with midweight fabric to provide warmth while mesh fabric  pockets and a large back vent  offer 360 ventilation
171|FP|12|on the move|this warm woolblend coat delivers instant comfort and a pulledtogether look with room to layer over bulky sweaters and fabric that feels ohsosoft you might never take it off
172|FQ|19|on the move|this woolblend coat delivers instant comfort and a pulledtogether look with room to layer over bulky sweaters and fabric that feels ohsosoft you might never take it off
173|FR|22|on the move|the fivepocket jean reinvented these slimfit pants are engineered with abc technology to give you freedom of movement and allday comfort
174|FS|89|on the move|inspired by chinos these slimfit pants are made for allday comfort
175|FT|67|on the move|jumpsuits the original life hack theres nothing easier than tossing this on after practice as you head into your day
176|FU|4|on the move|pack your bag like you pack  your day this rucksack has a wide opening and cinch  closure to make stashing gear  quick and easy
177|FV|62|on the move|beach brunch or unwind in these ribbedknit biker shorts made in a soft cottonblend fabric theyre all about breathability and comfort
178|FW|97|on the move|this one goes with everything a dropped shoulder and cocoon silhouette make this soft knit top ideal for days on the go
179|FX|58|on the move|reduce hair breakage and keep ponytails firmly in control with these skinny scrunchies
180|FY|81|on the move|love that light energetic postyoga icandoanything feeling channel it all day in this lightweight jacket with breezy ventilation
181|FZ|90|swim|stay out in the waves all day this hiplength rash guard has uv protection and keeps your skin from getting scraped
182|GA|62|yoga|sweaty practice never felt so good these yoga tights are made from butterysoft nulu fabric with subtle mesh details
183|GB|52|on the move|crush the cold in this plush fleecelined ear warmer for warmth thats softer than soft
184|GC|29|yoga|what bra we designed our classic racerback so you wont feel anything but your practice
185|GD|19|yoga|feels like nothing at all made of butterysoft nulu fabric this yoga bra with minimal seams helps keep your mind on the moment
186|GE|29|yoga|what bra we designed our classic racerback so you wont feel anything but your practice this one features a fanfavourite print from our archives
187|GF|3|yoga|stretch into your practice this ribbed butterysoft top has all the coverage you need for forward folds backbends and everything in between
188|GG|24|swim|which way to the beach this classic top is a natural for sunning and swimming
189|GH|30|on the move|navigate great outdoor runs in these insulated gloves the windproof and waterresistant fabric will keep your hands protected from the cold even in rain and snow
190|GI|97|swim|a great triangle bikini top is always a good idea we made this one with adjustable straps and quickdrying fabric
191|GJ|0|running|cold cant catch you these waterrepellent tech fleece tights help keep you warm and dry in cold and wet conditions
192|GK|29|on the move|feel it to believe it these pants have a peachfuzz touch that is impossible to resist dress them up or down and enjoy the softness all day
193|GL|83|yoga|when feeling nothing is everything the BrightJupiter align collection powered by nulu fabric is so weightless and buttery soft this version features ruching details
194|GM|97|on the move|grab and go this light and  easy sweater has a rounded hem  and a relaxed crew neck making  it great for busy and not so  busy days
195|GN|6|on the move|your mask your way this nonmedical face mask is for easy and comfortable everyday wear soft ear loops are a cinch to put on and take off and cord locks let you adjust the fit
196|GO|76|on the move|city adventurers we see you this version of the backpack you know and love has an exterior water bottle pocket for quick access to hydration as you jet from worktoworkout
197|GP|4|on the move|this backpack was designed for quick worktoworkout transitions with a builtin pocket for sweaty gear
198|GQ|4|on the move|this backpack was designed for a quick worktoworkout transition with a builtin pocket for sweaty gear
199|GR|0|on the move|made with waterproof fabric this down parka keeps you warm and dry during stormy winter weathereven when it gets below zero degrees celsius of course
200|GS|75|running|cold weather giving you goosebumps layer on these lightweight run pants theyre cut to stay out of your way without restricting your quads
201|GT|18|on the move|keep those pesky baby hairs at bay after your workout with this knotted headband
202|GU|18|on the move|this knotted headband keeps those pesky baby hairs at bay after your workout
203|GV|76|on the move|with pockets in all the right places this sturdy tote has a spot for just about everythingtaking you from morning to night with ease
204|GW|94|on the move|the ultimate hybrid combining  the utility of a belt bag and  the comfort of a backpack  this ultralightweight bag is primed for days  when you want to carry a  little more
205|GX|39|on the move|an oversized essential this mock neck is made in a naturally breathable drapey fabric with side slits for an easy tuck
206|GY|45|on the move|a little rain never hurts especially when youre wearing waterrepellent shorts pull these on over your tights to keep the weather at bay
207|GZ|13|on the move|oversized never felt so good we designed this classic hoodie to cover you in warmth before and after your sweaty pursuits
208|HA|80|running|stay covered and cool on sunny sweat sessions in this uvprotective top overlapped side seams offer airflow and room to move just like a classic running short
209|HB|94|on the move|need a new everyday bag look no further than this easyclean crossbody superstar
210|HC|11|running|max out your stride these run shorts have a little extra room to let you move freely
211|HD|4|on the move|use this multipocket hip pack now and foreverwith an adjustable shoulder strap it will hold all your small necessities
212|HE|4|on the move|keys check reflection check this keychain easily clips onto a bag or belt loop plus it doubles as a mirror when youre in a pinch
213|HF|12|on the move|we designed this jacket to feel as cozy as a comforter the puffy downfilled panels and are fully seamsealed so its not only warm its waterproof
214|HG|28|on the move|cold wet weather has got nothing on you this jacket bundles you up in channels of goosedown insulation and a soft breathable liner plus its fully waterproof
215|HH|6|yoga|comfort your way this sleeveless tank has wide straps so you can easily hide your bra and a cinchable hem for adjustable comfort
216|HI|69|yoga|this limitededition roksanda ilini collaboration pairs her bold and feminine aesthetic with our technical innovation the seams in these highperformance tights mimic our curvy logo and roksandas capital r
217|HJ|17|on the move|when temperature drops this waterrepellent vest keeps up lightweight goose down helps keep you warm while stretchy fabric panels let you move with ease
218|HK|30|hiking|hiking season just got a little longer zippers at the hem of these waterproof pants make them easy to pull over boots in rainy weather
219|HL|37|on the move|toiletries or electronics drop what you need inside this bag is ready to help organize your life one item at a time
220|HM|45|on the move|like a hot drink on a cold and stormy night this downfilled vest will warm you right up good thing we kept it lightweight so you can take the cozy vibes to go
221|HN|81|on the move|finally its sweater weather throw on this cozy weighty blankety mockneck sweater for workdays or down days
222|HO|57|on the move|rain or shine hold your head high this bucket hat keeps the elements out so whatever the weather you can make your way through the city
223|HP|2|on the move|technical comfort at its finest these fleecebacked joggers provide the warmth and softness you want and the performance qualities you need
224|HQ|13|yoga and training|seriously comfortable seamless construction gives these sleek workout undies a light airy feel so you can focus on your movement
225|HR|23|training|power up to a new personal best this hoodie has a relaxed fit that keeps you agile and fabric that resists abrasions from barbells and burpees
226|HS|74|training|this lightweight tank is a breath of fresh air the relaxed fit and mesh fabric paneling at the neck combine coverage and breathability for sweaty training sessions
227|HT|49|running|long strides welcome we made these highcoverage running shorts with an extended liner and extra room in the leg opening
228|HU|7|hiking|crafted lace lends an intriguing texture to these versatile shorts the sweatwicking liner keeps you covered during hikes and hang outs at the park
229|HV|2|on the move|turn down the dial and find your calm in these weighty multitextured joggers engineered insulation keeps you feeling cocooned in softness no blanket required
230|HW|31|on the move|upgrade your soft wear the relaxed fit and high side slits make this cozy sweater wrap an elevated option for any day of the week
231|HX|29|on the move|yes to coldweather this vest has zoned insulation to put warmth right where you want it when youre on the move
232|HY|48|on the move|a touch of frost can make the world sparkle zipup some warmth and explore the day in this vest with down insulation and a fit thats made to move
233|HZ|40|on the move|get a bottle that can do both this doublewalled stainless steel bottle keeps water cold for 24 hours and hot for nine
234|IA|40|on the move|your best pace awaits this doublewalled stainless steel bottle keeps water cold for 24 hours and hot for nine
235|IB|60|on the move|we built this soft lightweight crew for ultimate everyday comfort
236|IC|8|on the move|going somewhere this sleek track jacket was designed with plenty of secure pockets so you can take the essentials with you and maybe a little more
237|ID|87|on the move|bring a little laceinspired romance to your everyday bra situation with a lightasair confection that looks smooth under tops
238|IE|48|on the move|this long sleeve is a loose layer you can slip over your tank for coverage during savasana
239|IF|6|yoga|breathe through yoga feeling supported and free this tank top features an asymmetrical neckline and a builtin shelf bra
240|IG|62|on the move|cargo shorts done our way  stretch fabric moves with you  and roomy pockets keep  onthego essentials safe
241|IH|8|on the move|did someone say weekend getaway this roomy duffels made with lightweight construction so you can pack what you need for shorter trips
242|II|74|hiking|hiking season just got a little longer these baselayer pants combine the warmth of brushed fabric with builtin ventilation for dynamic thermal comfort
243|IJ|74|hiking|hiking season just got longer these baselayer pants combine the warmth of brushed fabric with builtin ventilation for dynamic thermal comfort
244|IK|80|tennis|ready set match this tennis skirt features a perforated side pleat to keep the air flowing as your game heats up
245|IL|23|training|crank out one more set we designed these lightweight shorts in abrasionresistant fabric so you can focus on crushing sweaty goals
246|IM|76|on the move|when your saturday is filled with errands a practice and a coffee date this little bag is your goto made with fabric that is waterrepellent durable and easy to wipe clean
247|IN|24|swim|which way to the beach these highwaist swim bottoms keep you feeling covered and confident all day
248|IO|23|yoga|enjoy freedom of movement during practicethese shorts will do the rest sweatwicking ribbed luxtreme fabric keeps you cool and distraction free so you can focus on your flow
249|IP|45|running|its cold and blustery but youre ready to run thanks to these warm tights
250|IQ|67|on the move|head out for the day with plenty of storage fourway stretch fabric and protection from light rain this jacket has everything you need to get where youre going and back again
251|IR|64|on the move|slouchy yet structured this mock neck sweater features a ribbed knit and boxy silhouette you wont want to take off
252|IS|12|running|its always running weather if you have the right gear these cozy tech fleece tights are brushed inside for softness and warmth
253|IT|30|running|keep your hands warm on brisk morning runs with these lightweight gloves a stowable waterrepellent hood protects your fingers in wet weather
254|IU|65|on the move|this antistink polo isnt just for golfingalthough it is the perfect playing partner think beyond the course and let this classic style take you there
255|IV|38|on the move|wavy textured curly or straightwhatever kind of hair youve got these clips will keep it together
256|IW|13|on the move|everyone needs a good hoodie soft naturally breathable fabric makes this one just that much better
257|IX|27|training|whether youre working out or heading out this lightweight versatile top will keep up with your plans
258|IY|77|running|zone in run strong powered by senseknit technology this breathable tank is designed to make you feel locked in and fast
259|IZ|77|running|zone in run strong powered by senseknit technology these lightweight twoinone shorts offer strategically placed support
260|JA|78|yoga|butterysoft and bold find your power pose in these yoga crops designed to help keep your mind clear and focused on your practice
261|JB|30|running|wind in your hair raindrops on your face this cropped jacket has waterproof fabric and ventilation for running trails or running errands
262|JC|44|running|your best pace awaits this cropped jacket has waterproof fabric and ventilation for running trails or running errands
263|JD|0|on the move|peak coldweather comfort has arrived take winter by storm in this wonderfully warm puffer jacket insulated with plush channels of 600fillpower down
264|JE|19|running|running never felt so goodwe designed this revolutionary bra to give you comfort movement management and a natural shape
265|JF|60|on the move|nextlevel everything our revolutionary bra delivers comfort movement management and a natural shape
266|JG|18|on the move|skip the shower not the workout this nonwhitening aluminumfree formula cleans sweaty hair so you can transition quickly postworkout
267|JH|90|swim|beach volleyball in the morning catch waves in the afternoon shield your skin from the sun in this shortsleeve rash guard
268|JI|11|training|with all the features you need to work sweat and rest these socks will get you through your whole day and then some
269|JJ|67|yoga|we designed this slimfitting long sleeve with antistink technology to keep you feeling and smelling fresh in and out of the studio flow through an early morning practice and head straight to brunch without missing a beat
270|JK|59|on the move|seamlessly transition through your day in these naturally breathable highrise joggers with clean lines and a fluid drape
